store_name,age,info,url,instagram,sta1_shop_url
썸데이이프,20대,"모던시크,유니크",http://www.somedayif.com,"somedayif_style,somedayif_",https://www.sta1.com/shops/2601?shopType=S&gndr=F
그녀희제,"20대,30대","럭셔리·명품,페미닌",http://www.shehj.com,shehj_official,https://www.sta1.com/shops/4287?shopType=S&gndr=F
페미니크,"20대,30대","모던시크,심플베이직",http://www.feminique.kr/,feminique_kj,https://www.sta1.com/shops/1327?shopType=S&gndr=F
빈블,10대,십대쇼핑몰,http://vinvle.com/,vin_vle,https://www.sta1.com/shops/3171?shopType=S&gndr=F
아덴,"20대,30대","러블리,모던시크",http://www.i-arden.com/,iarden_official,https://www.sta1.com/shops/278?shopType=S&gndr=F
매니모어,10대,십대쇼핑몰,http://www.manymore.co.kr/,manymore_store,https://www.sta1.com/shops/2771?shopType=S&gndr=F
가내스라,"10대,20대","러블리,심플베이직",http://www.ganaesra.com/,ganaesra,https://www.sta1.com/shops/4459?shopType=S&gndr=F
언니구두,"10대,20대,30대",슈즈,http://www.sistershu.com,sistershu_com,https://www.sta1.com/shops/1090?shopType=S&gndr=F
스위트글램,"20대,30대","섹시,페미닌",http://www.sweetglam.co.kr/,no_instagram,https://www.sta1.com/shops/3176?shopType=S&gndr=F
에프터먼데이,20대,"유니크,심플베이직",http://aftermonday.com,_aftermonday,https://www.sta1.com/shops/1410?shopType=S&gndr=F
럭스위즈,30대,"럭셔리·명품,미시스타일",http://luxwiz.com/,theluxwiz,https://www.sta1.com/shops/1156?shopType=S&gndr=F
단순한부띠끄,"20대,30대","모던시크,심플베이직",http://simpleboutique.co.kr/,simpleboutique_official,https://www.sta1.com/shops/2715?shopType=S&gndr=F
나이스홍,30대,"미시스타일,페미닌",http://www.nicehong.com/,no_instagram,https://www.sta1.com/shops/50?shopType=S&gndr=F
루서인,"20대,30대","럭셔리·명품,페미닌",http://www.rooseoin.com,rooseoin,https://www.sta1.com/shops/4319?shopType=S&gndr=F
러브앤드팝,10대,십대쇼핑몰,http://www.loveandpop.kr/,loveandpop.kr,https://www.sta1.com/shops/2912?shopType=S&gndr=F
에브리모닝,20대,"러블리,심플베이직",http://www.everymorning.co.kr/,jdayeong,https://www.sta1.com/shops/2756?shopType=S&gndr=F
보엔,30대,"미시스타일,심플베이직",http://www.mediacategory.com/servlet/drc,no_instagram,https://www.sta1.com/shops/37?shopType=S&gndr=F
코메스타,30대,"미시스타일,심플베이직",http://www.comesta.co/,no_instagram,https://www.sta1.com/shops/3169?shopType=S&gndr=F
인더모드,"10대,20대","유니크,심플베이직",http://www.in-themode.com,inthemode_,https://www.sta1.com/shops/585?shopType=S&gndr=F
올드미키,10대,십대쇼핑몰,http://www.oldmickey.com/,oldmickeycom,https://www.sta1.com/shops/511?shopType=S&gndr=F
어나더유라,30대,"미시스타일,심플베이직",http://www.another-youla.co.kr/,no_instagram,https://www.sta1.com/shops/91?shopType=S&gndr=F
아리마,"20대,30대","럭셔리·명품,페미닌",http://www.arima.co.kr/,__arima__,https://www.sta1.com/shops/1718?shopType=S&gndr=F
마랑블루,30대,"미시스타일,심플베이직",http://www.mediacategory.com/servlet/drc,no_instagram,https://www.sta1.com/shops/2519?shopType=S&gndr=F
